label,text
neg,DramaSweetDreams akan datang katanyaentah after SetelahTerlafaznyaAkad kot since it ends 1Augpastu drama nana and khai baharmandaii je buat andaiian ehhhsemua arahan michael ang sehhnmpk gaya tk jadilah terminate singtel tv
pos,AIA and Singtel collaborate to drive wellness in Singapore  digitalhealth innovation healthtech medtech li fb
neg,Is it just me or is singtel data really slow today I mean it was having trouble with 3G Then even though its using 4G now its still slow
neg,fuck singtel useless piece of shit
pos,Hi there able to share what service are you on
pos,Free and unlimited data Our analysis TPG launches disruptive mobile service in Singapore but lags on mobile experience  @opensignal @StarHub @Singtel @TPGTelecom @M1SingaporepictwittercomTjWNGpOriC
neg,so many customers misheard my name as singtel and i can literally hear their confusion over the phone this aint new anymore 
pos,@eletsonline is pleased to welcome @Singtel as Exhibitor at 4th BFSI CTO Summit Mumbai on 29 August 2019 eletsCTOBook Your Exhibition Space Visit Website Download Brochure pictwittercomgC3aEcDdlT
neg,Download A530FXXU6CSF6 June 2019 Patch for Galaxy A8 SMA530F Singapore singtel to SIN 
pos,Hi there were concerned to learn of this Able to share with me the nature of your issue
neg,So annoyed with singtel la 
neg,@StarHubCares hi I have signed up for starhub hub club from singtel seems service worser than singtel I have a scheduled appointment for installation between 9 to 11 but still its not installed starhub technician says opennet has to open the other port an
pos,Recently we organised our first Women in Tech event at Singtels George Street HQ You can see how the event went down hereOur next HackerHunt is on the 24th of July Let us know  we may still be able to squeeze you in
neg,UGHHHH Fuck Singtel 4G Keeps disconnecting at least once a day out of nowhere Does it really hate Razer Phone 2 that much
pos,Its fine now thanks
pos,ahhhhhh benci gila sia pepagi dah maki orang please lah SingTel JUST DO R JOB PROPERLY 
pos,Singtel Assistant Officer inCharge Singapore S00 Singapore 
neg,Hi there good morning to you Are you still facing this issue today
pos,Hi there one of our colleagues will be in touch with you later today
pos,Anyone switched to Singtels Apple Music promo Need help here
pos,Singtel owns Optus
pos,TPG owned by China Optus owned by Singtel in Singapore which one will buy 
neg,gotta fix your shit bruh youve been freakin useless these past few days @Singtel
neg,SingTel network is down or what I couldnt connect to my internet wifi @Singtel @SingtelSupport
pos,One has to wonder where LHYs allusions to nepotism were when he was enjoying a cushy 12year tenure as Singtel CEOIts also funnysad how the antiPAP crowd sees LHY as some white knight when I think hes just upset his son doesnt get to be crown prince 
pos,MislatelDito Telecommunity4G  NTTPLDTSmartSingtelGlobeDito3
pos,Ohhhh Okay Ill soon join the singtel clan All hail Singtel Auuuuuuuoooooooo 
pos,Havent watched this much tennis in years I used to watch when I had Singtel  Starhub TV Wimbledon has accompanied my Oz trip this time round Come on rogerfederer 
pos,One of our colleagues will be personally looking into this and will be in touch with you tomorrow Thank you
neg,Idk how many times i have to restart my Singtel router  Ffs
neg,Can you confirm no one can just call singtel support say my name IC etc and take over my number Or what if someone goes down to Singtel shop pretend to be my relatives and get a new sim card with my number Hopefully att case never happen with Singtel
neg,Please kindly get this resolved or I will proceed with tribunal claims and also to further on with other social media
neg,Please also note that I hv not agreed on any appt on 13 Jul
neg,Im getting very frustrated My monthly subscription for the fibre bundle signet miovoice miotv and mobile add up to 231 This is the kind of service I get Please waive off the subscriptions from 6 Jul till the matter is resolved as well as all the data charges incurred
pos,For the next 1 week or so I will be busy making 3035 pieces of this card together with a small snack pack Ive prepared as a farewell gift for my colleagues and staff at Singtel Piggie is flying away  pictwittercomwZNihQTOaC
pos,Singtel jangan bego please
pos,Airtel Africa debuts in Lagos in 44bn listingBusiness Daily Airtel Africas existing shareholders include Singapores Temasek Japans SoftBank Singtel and US investment firm Warburg Pincus  via @theafricamentor africabiz businesspictwittercomgHSAavxxG0
neg,Hmm could you drop me a DM with the registered subscribers full name account number and contact number
pos,Hey there we definitely understand your concerns on this Nevertheless I would like to sincerely thank you for taking the time to share your valuable feedback with us which we will highlight to the relevant teams for future review and improvement of our services
neg,Someone pls call me dumb if i renew my singtel contract AGAIN
pos,Ive been asking for 4G VAS to be activated which has not still come up
pos,pictwittercommIuRJHxVa6
pos,Hey there Able to share with us the addon reflected in your My Singtel App It should be under Manage AddOns
pos,Mantap singtel kartunya3
neg,Ugh i knew this would happen Both my singtel  krisflyer cc shares the common limit which means i cant maximise the kf unless i clear off the singtel whenever i want to book flights using But the singtel ones are for bills
neg,I didnt notice a name tag or ask for a name either
neg,Sorry but no I dont I would rather not point people out in particular
neg,ACASIA Communications Board of Directors Meeting No 82 followed by lunch  dinner date with acting CEO of Telbru @ Empire Hotel  Country Club Brunei Kg Jerudong Muara Brunei on 04 July 2019telbru singtel pldt acasia tmglobal vnpt CATpictwittercomZcwG1IHXCS
pos,Thank you for sharing well check on this with the teams following up
neg,Thanks for reply I have a mobile number on which 4G VAS needed to be activated I activated it on my Singtel app and even after 2 weeks it is not active I tried to call helpline but couldnt speak to anyone
neg,Hi we are saddened to hear of your experience at one of our Retail outlets  Certainly not the impression we want to project to our customers  Able to recall the name of the staff or a description perhaps We want to feedback this to the relevant department
neg,Please note that I hv not agreed to any appointment at my premises till the waiver matter has been confirmed
pos,BUSINESS Airtel Africa debuts in Lagos in 44bn listing Airtel Africas existing shareholders include Singapores Temasek Japans SoftBank Singtel and US investment firm Warburg Pincus 
neg,Hey @Singtel I had a bad experience with your staff this afternoon in the NEX Serangoon Singtel Exclusive Retailer outlet Service was rude and I was judged for being Chinese but not speaking Mandarin Perhaps you should train staff better in customer service
neg,We understand your frustration and we are sorry for the inconvenience Our colleague handling your case already booked a joint onsite on your available timing which is on 13th July Both NLT and Singtel technician will be there to troubleshoot the connection
neg,Thats the bad kind of number go up
neg,@SingtelSupport your call lines are permanently answered by auto answering machines and its impossible to get across to a human being to convey ones problems I have faced a problem for Add on service but there is no resolution from Singtel and no one I ca
neg,For SingaporeSingtel TV Channel 328 E Entertainment Starhub TV sorry Im not sure  if anyone knows please reply to this tweet 
neg,I hv lost my patience
neg,Singtel better fucking do something already
pos,So Singtel finally transferred our cross carriage over After a month of waiting YayThings like this shouldnt be celebrated but I am just glad it happened Both Singtel and Starhubs  follow up or have been awful
pos,@FirstMediaCares ngedown gak nanggung2 Hebat ya disaat dibutuhkan ngedown kek gini Ke singtel kek gini konek server luar gak bisa2  sejam jam setengah dua loh min pictwittercomg4jCKjgTyS
pos,Read the story on how Temasek Foundation is partnering @Singtel to help connect our vulnerable seniors with a personal telecare service  TemasekReview
pos,Can try @dentcoin
neg,Ya but it didnt link Can you DM me
neg,proceeded to link your Apple Music account to Singtel right
pos,Dekat betul di Singtel kan 
neg,But after I clicked back and check the subscription it is still showing my previous sub with Apple
neg,Yes I clicked on the link and proceeded
neg,Recent Transactions  July 2019 Today I am here to share on some of my recent trades Singtel has been doing well lately but its PE is getting on the high side at 18 All eyes on its Exdividend date on 26th July  Sold some Singtel shares to pictwittercomaPiWM3XRz9
pos,Cant believe this is actually happening in 2019
pos,SIMsingtel
pos,Video Fast  Easy SelfRegistration with Singtel Prepaid @Singtel eKYC identityverification 
neg,Did you received an SMS after signing up to registerlink your Apple Music account to Singtel
pos,Thank you too for choosing Singtel 
pos,starhub singtel
pos,Thank you @Singtel for the nice discount into the Singapore National Gallery Much appreciated expat expatlifepictwittercom8qcj56RiIK
neg,Yes and I have unsubscribed with Apple I tried to But not sure if its linked
neg,hmmdo you have an existing Apple Music account prior to subscribing Apple Music with Singtel And did you link your existing Apple Music account to Singtel after
pos,Circles But im planning to change Singtel But Rifqis reaction is making me think twice 
pos,Dmed
neg,Its there but my Apple Music subscription is still expired and asking me to resubscribe with Apple
neg,Sad to hear that issue still persists  Im here to help Once you open My Singtel app select your Fibre Broadband service first Once the app open to your Fibre Broadband on the bottom under Help is the Connectivity Test Hope this helps
pos,Hi there you can check on My Singtel app if it is indicated under Manage Plan and  Addons then on My AddonsCheers
neg,Hi Sahgiel thanks for replying Unfortunately the problems still persist this morning Ive tried googling how to do the Connectivity Test but cant find any instructions online and I cant find any tab for Connectivity Test in the app Could you help me out please Sorry
neg,Hi there sorry to hear of your experience with the WiFi If the issue still persists this morning Can try to do a Connectivity Test via My Singtel app Select your Fibre Broadband service from the list first then do the test Update us here of the outcome
pos,Singtel Satellites footprints are best suited for diverse applications which can range from backhaul traffic for mobile networks mining industry to other verticalsTo learn more  For information  or email smlead@singtelcompictwittercomwvqnxaDrF2
neg,@SingTel The webchat link you sent expired before I could even click on it So not happy I need to actually talk to a real person now
pos,@SingTel someone needs to respond to me now
pos,Download SMJ730GM May 2019 Security J730GMDXU6CSF5 Singapore singtel  SIN 
neg,@SingtelMaseela @SingtelSahgiel @SingtelBabur @singtel bought the 35 roaming package but am getting messages that I now have 400 in roaming charges This needs to be sorted NOW Have messaged many times today and have had no answer
neg,@SingtelSupport How do I know if my Apple Music is subscribed with Singtel
pos,Setahuku Singtel kalau tdk salah pegang saham cukup gede om di Telkomsel  saya saja males paka Tsel karena faktor kerja saja makanya saya jadikan kartu ke2 
neg,Singapore is investing S40 million to roll out its 5G ecosystem by 2020 rolls out commercial 5G services through Singtel Starthub M1
pos,Download G965FXXU5CSF2 June 2019 Patch for Galaxy S9 Plus SMG965F SMG965F Singapore singtel to SIN 
pos,Entah bila eh bill singtel nak clear 
neg,@singtel think I activated a new plan via text but now seem to have 363 dollars in roaming despite the fact I turned it off I am afraid to turn it back on in case the plan has not been activated
pos,@Singtel Need my roaming problem fixed now
neg,@singtel @SingtelMaseela @SingtelSahgiel Need this situation fixed now Roaming charges because the app would not let renew before my package expired I had 250 in roaming charges the second I turned my phone on  Need this Fixed now please
neg,@Singtel need help nowIn Canada and knew my roaming package was about to expire but the app wouldnt let me renew because it said I had to wait till by package expired Still wont let me renew but I have received a message saying I have 250 in roaming charg
neg,@Singtel help In Canada and knew my roaming package was about to expire but the app wouldnt let me renew because it said I had to wait till by package expired Still wont let me renew but I have received a message saying I have 250 in roaming charges Pleas
neg,@SingtelMaseela help I am in Canada and just got a message that my roaming package was going to expire I have tried to renew the package but it says it cant because I have an existing package yet Ai just got a notice that I have 250 worth of roaming charg
pos,Hahahaha SingTel Lets see
neg,baru tanggal 9  dah sepi amat nih  pada kemana yak bisa bangkrut nih singtel lama2
neg,Dear @SingtelSupport @Singtel i really need your security department to address my question  what it take for other people to claim my number Essentially taking over my phone number without me knowing News about @ATT illegal number port 
pos,Were relieved to learn this Could we clarify if our colleague was able to assist with the subscription eventually To subscribe to a Roaming Plan you may do so via My Singtel App  Roaming Manage Roaming Addons  Buy Addons We hope this info is helpful to you
neg,Is it just me or has Singtels wifi been pretty shit these few days
pos,Thank you for sharing with us may we clarify if you have managed to subscribe to our Data Roaming Plan via My Singtel App eventually or was our colleague able to assist on this Do let us know were here to help
neg,Hi The Login ID will be your mobile number or the email address you have registered with us may I clarify if you have tried to login Do keep us posted yeah
neg,No its only with the Singtel TV broadband is working fine
neg,This is probably ridiculous charging by Singtel for something that weve never used even once Received a bill that charged for Mobile Broadband data excess but no one in the house uses it at all Might have to give them a call for termination tomorrow
pos,Definitely not how we want you to feel  Able to share with us which country and the network you are connected to when incurring the Data Roaming Payperuse charges You may wish to share your details with us via DM and well followup with you from there Were here to help
pos,Download G960FXXU5CSF2 Galaxy S9 SMG960F Android pie Stable Update to Singapore singtel  SIN 
neg,WHAT THE FUK IS SINGTEL DOING WITH THAT SHITTY ASS WIFI
pos,Thank you for the screenshot May I clarify if you have tried to perform a Connectivity Test The registered subscriber may do so by logging in using their OnePass account Do let us know 
pos,Hi Thank you for reaching out and sharing the screenshot with us Could we clarify if you have disabled Data Roaming Settings via My Singtel App network level
neg,@SingtelSupport please help I am not able to switch on my TV cricket World Cup is going on Not able to speak to customer support waiting in the call for more than 20 mins All 4 lights in the Singtel TV are glowing not able to do anything
pos,Hi Thank you for reaching out To help identify any potential issues with your connection able to try run a Connectivity Test via My Singtel App the registered subscriber may do so by logging in with their OnePass account Do let us know the outcome of the test results
pos,Hi May I know where did you see the indication that your account is inactive In the meantime able to try run a Connectivity Test via My Singtel App this will help identify any potential issues with your connection Let us know of the outcome well be right here
pos,Hi Let us check on this with the respective teams and get back to you Appreciate your patience in the interim while we check on this Thank you
neg,Made the same switch and for roaming put @flexiroam on your sim card
pos,For further details you can refer to guidelines for subscriber verification process in the IMDA website  Nonetheless thank you for reaching out Do let us know if you require any assistance with your Singtel services well be here yeah
pos,Hi Allow us to share that the new NRIC guidelines allow organizations to verify NRIC numbers when it is needed to verify an individuals identityFor accountspecific requests Telcos are also required by IMDA to verify the subscribers identity using NRIC number  12
neg,Hey whats wrong Were here to help
neg,No time frame given to me Please waive off my subscription n data charges incurred during this period from 6 Jul till the matter is resolved
pos,Hi Would you be able to share with us more on the issue Also were you provided with any time frame for the followup Were here to help
neg,Till now no confirmation Really no time management @singtel
neg,Download Firmware T395XXU4CSF4 Galaxy Tab Active 2 LTE SMT395 Android 9 Singapore singtel  SIN 
pos,Customer Focused Commercial Contract Manager Singtel  Canberra ACT  Canberra Australia Company Singtel So Why Optus We see ourselves leading Australia in outstanding customer experience In striving to   For More Jobs  Please Go2 Our Page
pos,Data Roaming Plans Singapore  Starhub DataTravel vs Singtel ReadyRoam vs M1 Data Passport YahooFinancepictwittercomKTG1FQWlux
pos,Texted you my phone number
pos,hmmwe would like to check further on this and followup with the team Can DM me your account number
neg,I have been following with your colleagues since one weekBut its not happeningI was given a deadline of 9th JulyI called NLT this morningBut they have not received any request to release the port till dateI need this port Asap
pos,Hi there we are concerned to hear of this Can check if one of our hotline colleagues is following up with you on this request
neg,@SingtelSupport @Singtel its really disgusting I have been chasing with you guys to release the fiber port of my new house which was being used by the previous tenantThe previous tenant also confirmed you to release it so that I can use it Whats the probl
neg,G ngaruh klo masih dikuasai tsel mah Coba itu buka kran utk bisa verizon singtel masuk buat jd saingan tsel dan isat biar belajar bagaimana pelayanan bagus yg sebenarnya 
pos,Halah selama operatornya masih tsel dan yg itu2 aja g bakal 5g rasa 5g yg ada 5g rasa 3g atau H lebih kenceng dr 5g Sudah saatnya operator luar yg bagus seperti verizon diberi izin masuk secara resmi bukan cuma invest atau singtel masuk biar tau yg lain bagus itu apa
neg,Hi Still not able to Message Us via My Singtel app Update us here so we can followup
neg,Thanks to @Singtel s uninterrupted  super duper connectivity I connected to a remote machine ran through a presentation and a voice call all at once from my phone while on the go     No thanks to the surprising traffic 
pos,Download A520FXXUBCSF1 Galaxy A5 2017 SMA520F Android Oreo Stable Update to Singapore singtel  SIN 
neg,@Singtel your internet speed in the early hours is pathetic cannot even play video at 360p is this intentional 
pos,VIDEO Increible simulador de F1 Singtel 2011 pictwittercomSGRQBMfHG5
pos,Download A730FXXU5CSE9 Official Android 9 pie for Galaxy A8 Plus SMA730F Singapore singtel  SIN 
pos,Download Galaxy J3 Pro June 2019 Security J330GDXS3BSF5 Singapore singtel  SIN 
neg,eXCUSE ME SINGTEL @Singtel @SingtelSupport hello youre giving me this shit speed when im on full bar 300ping im right next to the damn routerpictwittercomfreKlXOkMJ
neg,This is just the kind of repeated response I have been gettingPls note that not all scheduled maintenance impacts network Selective ones doThe customer SHOULD be informed to plan ahead Its simpleWhy cant singtel inform the customer on impacting maintenance only
pos,the hours of 1am to 5am You may experience intermittent internet connectivity during these periods You can find the info here  22
neg,Hi there We understand where you are coming from Singtel conduct regular scheduled maintenance on internet services twice a week on weekdays during the hours of 1am to 5am Where necessary we may schedule additional maintenance activities on weekdays andor weekends during 12
pos,Australia Telecoms Fixed  Mobile Market Report 2019 Featuring Singtel Optus Telstra TPG and Vodafone Hutchison Australia    Business
neg,@Singtel @SingtelSupport says they dont inform corporate clients when they do planned maintenance at nightweekendsDidnt know that the world sleeps wen Singapore doesWake up guysThere are companies that are operational 24x7  have clientslistenersworldwide 
neg,Im still really upset that the guy at @Singtel tore off the protective plastic on my new s10e Like dude i dont even have a case yet why the hell would you do that
neg,Singtel is so stupid today
pos,Future Scope of 5G IoT Market by Top players like Telus Canada Bell Canada Canada Singtel 
neg,I understand your frustration Im sure the team handling this issue will followup with you once it is resolve
neg,Oh okay thank you for the information I will try to revert the issue to Twitch
pos,At 5GAsia its your chance to rub shoulders with senior executives who are leading the way with 5G deployment companies like @ktcorp @RakutenUK @TMONE @docomo @Singtel will be joining us will you Register for your free pass here  pictwittercomZW7xpDhYxL
pos,At 5GAsia its your chance to rub shoulders with senior executives who are leading the way with 5G deployment companies like @ktcorp @RakutenUK @TMONE @docomo @Singtel will be joining us will you Register for your free pass here  pictwittercomkOFqNj1z59
neg,@singtel can never make it when problem arises
neg,Do singtel have a spam filter for sms coming in Just want to make sure
pos,Of course they are escalating But penalising me for the subscriptions n data charges when the fault doesnt lie with me I hv been incurring data charges since Saturday Another week to go
neg,my wifi is down again f singtel lives
neg,yes already done recovery 2 times since last week I still got the message but this week I cant got the message at all
pos,Hi We are saddened by your tweet Is there anything we can help Do share it with us here
pos,90110659
pos,Great Thabnk you for choosing Singtel
neg,@Singtel @SingtelSupport really disappointed with SingTel as seem they do not value customers loyalty
pos,Yes I can receive another sms but only from Twitch I dont get it But for Twitch with other provider it works
neg,Im tired of repeating Please check with your customer service on mobile 9011659
pos,I went to singtel school of videocam to learn how to be a camsuperstar
neg,@SingtelSupport Singtel has once again cannot make it
neg,Skip the queue with Singtels new digital selfregistration service for prepaid customers @hardwarezone identityverification Singtel 
neg,Go fuck yourself singtel 
neg,SingTel SGXZ74  DBS Research 20190708 Take Some Profit As Rally Could Be Losing Steam SingTel Amobee  via @SGinvestors
neg,In fintech Singtel has also ventured into mobile financial services such as mobile payments solution Dash  its been around for ages and still no one is using Dash except in their staff canteen
neg,Brokers take DBS lowers Singtel to hold after share price rally 
neg,singtel and it sucks
neg,singtel is trash 
pos,Literally that the ONE THING YOU GOT OUT OF THISAND YES ALWAYS HAVE BEEN A SINGTEL USERSINGTEL BE REPPIN
pos,a singtel user we stan
pos,Singtel Optus Pty Limited dba Optus is the second largest telecommunications company in Australia
neg,@SingtelSupport Hi I have an issue I want to login to my Twitch account but the SMS token is not coming to my SingTel number Already tried with other account and another provider the message is coming but when to my SingTel number the message not come Can
pos,Alright sure Keep us posted on the outcome of this Were here to help
pos,Hi is there anything we can assist you with
pos,Hi we hear you on this Rest assured we will share your feedback with our teams in charge for a periodical review of our Singtel TV content
neg,Thanks to @TPGTelecom for coming into Sg and putting the incumbents @Singtel @M1Singapore @StarHub ok their toes We are done with the predatory pricing ie unexpected data charges roaming fees 24m lockdown For years these telecoms have had too much power on consumers
pos,Data Roaming Plans Singapore  Starhub DataTravel vs Singtel ReadyRoam vs M1 DataPassport pictwittercomeFMI1r7kCy
neg,I dont get what you mean 
pos,Omg singtel wifi
neg,singtel sucks i miss my wifi
pos,Pakai infinity data jer Hahaa tak pening
neg,ffs singtel wifi has been so shitty for the past few days or isit just mine
neg,Why cant they stream the womens world cup final on singtel instead of starhub haiz
neg,S C A M
pos,yeap
neg,We definitely didnt mean to make you feel that way  May we ask to clarify if the appointment is still set for Tuesday
neg,@Singtel shameful that with all these channels and the high cost theres no way to watch the WomensWorldCup on Singtel TV
pos,Hey there my name is also Bel  Id like to help with that Are you able to share if this is on a wiredwireless connection and if only a specific device is affected or are several devices affected
neg,no use telling me that now anyways Plus its alright Youve already lost a customer 
neg,Hey there oh dear we are so sorry about this The opening hours for weekdays are from 12pm  8pm while on weekends and PH are from 12pm  6pm Were sincerely sorry for the inconvenience caused on behalf 
neg,Whackass wifi connection im sick of switching to data every few mins  @Singtel
pos,Hey there are you able to share if this is on a wiredwireless connection and if only a specific device is affected or are several devices affected
pos,Saw Gaga LIVE for the first time 8 years ago today at the Born This Way SingTel private show The memory is still fresh in my head  
neg,Ok im getting annoyed @Singtel Wifi Ive been trying for the past 3 min to reset my password but the next thing i know it says bad gateaway Then when i want to make payment also the connectivity so slow
neg,Hey there Have you tried reinstalling the My Singtel App
neg,seriously contemplating changing from singtel to circles bc my bills are always btwn 100 to 150 per month and its just bloody ridic
pos,lol sir well done to you and your company One of your guys told us that we can come and do a one to one exchange at nex and that it closes at 8pm now were here and they told us that replacements is only until 6pm today Great Bravo
neg,Tak kira nk jugak menyibuk n mention sbb kita pun ada pohe N sorry lama sangat singtel sampai tak pandai nk pwujekpwujuk
neg,Oh dear That is odd indeed Can you try a sequential reboot If it doesnt work we may need to get our technical teams to assist you on this
neg,Hey there Able to drop me a DM with the registered subscribers full name account number and contact number so that we can check on this further if a sequential reboot does not work
neg,The 1688 IVR is bringing me in circles It is extremely frustrating that I cannot get to talk to a technical person The stupid bot on phone loops and eventually says it cannot detect my fiber and wants to send me instructions for replacement which I HAVE already done
pos,pictwittercomEVGbG5JxcT
pos,pictwittercom31qGXMAvmy
neg,Fiber and power attached Gpon light is not coming onpictwittercomMe08VNpAIe
neg,Have sent the equipment to nex for replacement However same problem Wasted half a day
pos,Hi there we regret to learn of this However I believe the slot allocated to you was the earliest available one as our field engineers are also working a tight schedule Do hang in there and we will also share your feedback with our teams in charge
pos,Singtel beefs up ewallet with remittance service to Myanmar  Nikkei Asian Review 
neg,My goodness @Singtel your service is horrible My wifi is down and you tell me the earliest your guys can come down to check is on tuesday 
neg,Hey @SamsungSG have shameNote 9 in SG both Singtel  Starhub lines is still having April update In India even Galaxy J4 gets July update @Singtel  @StarHub @StarHubCares    are you delaying the updates @SamMobiles @phonearena @Samsung  @UniverseIce @MMDDJpictwittercomPl0CPjrmBx
neg,Fucking singtel why do you care if I dont pay on time every month I still pay and dont owe you shit
neg,hahaha i masuk singapore ni sg mana ada line maxis ke umobile ke dia line singtel pictwittercomcZJzVz115u
neg,Can meet for Fellow Citizen so crowded @Singtel since you all have promo posters for KBS plastered all over MRT stations why not bring in the real man  
neg,Ou ingatkan mocking me cus Im singtel 
neg,Hi Sorry to hear of your experience Have you tried a sequential reboot You can also do a Connectivity Test via My Singtel app after selecting your Fibre Broadband to determine the root cause and also guide you to troubleshoot Update us of the outcome here
neg,The GPON light on the Singtel provided ONT has no light Restarting it doesnt help No internet no phone no mio now Please assist
neg,@SingtelSupport The GPON LED is not lighted up on my Singtel ONT So no internet no mio no phone Please help
pos,Singtel names Ng Kuo Pin as next CEO for NCS@Singtel@SingtelSupport@
pos,UNBOXED by Singtel  via @YouTube
pos,Singtel names Ng Kuo Pin as next CEO for NCS@Singtel@SingtelSupport@SingtelNews@SingtelBusiness@singtelinnov8@ziaaskari@telecomdrive 
neg,How do you survive with 6 oh man Im here overusing my 12gb gotta switch to circles instead of singtel man
pos,trustwave singtel 
pos,singtelpictwittercomUZ5djQZxbx
pos,Whatsapp is not in my store In SGP with working Singtel SIM inserted Sometimes FB is there and sometimes not Where else can I reach for help
pos,The singtel buildingarchitecture architecturephotography blackandwhite blackandwhitephotography singapore artitechture huaweimate20pro huaweisg huawei huaweileica leica 
pos,Download SMT595 June 2019 Security T595DXU3BSF4 Singapore singtel  SIN 
neg,Hi noted that you are referring to your bill would you be able to share with us the Singtel services charged under the Bill
neg,singtel dash can only use to pay Bills
pos,Hi there this is definitely not how we want you to feel We really appreciate the time you have taken to share your feedback with us and will relay this to the respective teams for their attention and future reviews Thank you
